b0001	thrL	ECK0001	P0AD86
b0791	ybhQ	ECK0780	P0AAW5
b0792	ybhR	ECK0781	P0AFP9
b0793	ybhS	ECK0782	P0AFQ2
b0794	ybhF	ECK0783	P0A9U1
b0795	ybhG	ECK0784	P75777
b0796	ybiH	ECK0785	P0ACU0
b0797	rhlE	ECK0786	P25888
b0798	ybiA	ECK0787	P30176
b0799	dinG	ECK0788	P27296
b0800	ybiB	ECK0789	P30177
b0801	ybiC	ECK0790	P30178
b0802	ybiJ	ECK0791	P0AAX3
b0803	ybiI	ECK0792	P41039
b0804	ybiX	ECK0793	P75779
b0805	fiu	ECK0794	P75780
b0806	mcbA	ECK0795	P0AAX6
b0807	rlmF	ECK0796	P75782
b0808	ybiO	ECK0797	P75783
b0809	glnQ	ECK0798	P10346
b0810	glnP	ECK0799	P0AEQ6
b0811	glnH	ECK0800	P0AEQ3
b0812	dps	ECK0801	P0ABT2
b0813	rhtA	ECK0802	P0AA67
b0814	ompX	ECK0803	P0A917
b0815	ybiP	ECK0804	P75785
b4705	mntS	ECK4517	P0DKB3
b0817	mntR	ECK0807	P0A9F1
b0818	ybiR	ECK0808	P75788
b0819	ldtB	ECK0809	P0AAX8
b0820	ybiT	ECK0810	P0A9U3
b0821	ybiU	ECK0811	P75791
b0822	ybiV	ECK0812	P75792
b0823	ybiW	ECK0813	P75793
b0824	ybiY	ECK0814	P75794
b0825	fsaA	ECK0815	P78055
b0826	moeB	ECK0816	P12282
b0827	moeA	ECK0817	P12281
b0828	iaaA	ECK0818	P37595
b0829	gsiA	ECK0819	P75796
b0830	gsiB	ECK0820	P75797
b0831	gsiC	ECK0821	P75798
b0832	gsiD	ECK0822	P75799
b0833	yliE	ECK0823	P75800
b0834	yliF	ECK0824	P75801
b0835	rimO	ECK0825	P0AEI4
b0836	bssR	ECK0826	P0AAY1
b0837	yliI	ECK0827	P75804
b0838	gstB	ECK0828	P0ACA7
b0839	dacC	ECK0829	P08506
b0840	deoR	ECK0830	P0ACK5
b0841	ybjG	ECK0831	P75806
b0842	mdfA	ECK0832	P0AEY8
b0843	ybjH	ECK0833	P0AAY4
b0844	ybjI	ECK0834	P75809
b0845	ybjJ	ECK0835	P75810
b0846	rcdA	ECK0836	P75811
b0847	ybjL	ECK0838	P60869
b0848	ybjM	ECK0839	P64439
b0849	grxA	ECK0840	P68688
b0850	ybjC	ECK0841	P46119
b0851	nfsA	ECK0842	P17117
b0852	rimK	ECK0843	P0C0U4
b0853	ybjN	ECK0844	P0AAY6
b0854	potF	ECK0845	P31133
b0855	potG	ECK0846	P31134
b0856	potH	ECK0847	P31135
b0857	potI	ECK0848	P0AFL1
b0858	ybjO	ECK0849	P0AAZ0
b0859	rlmC	ECK0850	P75817
b0860	artJ	ECK0851	P30860
b0861	artM	ECK0852	P0AE30
b0862	artQ	ECK0853	P0AE34
b0863	artI	ECK0854	P30859
b0864	artP	ECK0855	P0AAF6
b0865	ybjP	ECK0856	P75818
b0866	ybjQ	ECK0857	P0A8C1
b0867	amiD	ECK0858	P75820
b0868	ybjS	ECK0859	P75821
b0869	ybjT	ECK0860	P75822
b0870	ltaE	ECK0861	P75823
b0871	poxB	ECK0862	P07003
b0872	hcr	ECK0863	P75824
b0873	hcp	ECK0864	P75825
b0874	ybjE	ECK0865	P75826
b0875	aqpZ	ECK0866	P60844
b0876	ybjD	ECK0867	P75828
b0877	ybjX	ECK0868	P75829
b0878	macA	ECK0869	P75830
b0879	macB	ECK0870	P75831
b0880	cspD	ECK0871	P0A968
b0881	clpS	ECK0872	P0A8Q6
b0882	clpA	ECK0873	P0ABH9
b0884	infA	ECK0875	P69222
b0885	aat	ECK0876	P0A8P1
b0886	cydC	ECK0877	P23886
b0887	cydD	ECK0878	P29018
b0888	trxB	ECK0879	P0A9P4
b0889	lrp	ECK0880	P0ACJ0
b0890	ftsK	ECK0881	P46889
b0891	lolA	ECK0882	P61316
b0892	rarA	ECK0883	P0AAZ4
b0893	serS	ECK0884	P0A8L1
b0894	dmsA	ECK0885	P18775
b0895	dmsB	ECK0886	P18776
b0896	dmsC	ECK0887	P18777
b0897	ycaC	ECK0888	P21367
b0898	ycaD	ECK0889	P21503
b0899	ycaM	ECK0890	P75835
b0900	ycaN	ECK0891	P75836
b0901	ycaK	ECK0892	P43340
b0902	pflA	ECK0893	P0A9N4
b0903	pflB	ECK0894	P09373
b0904	focA	ECK0895	P0AC23
b0905	ycaO	ECK0896	P75838
b0906	ycaP	ECK0897	P75839
b0907	serC	ECK0898	P23721
b0908	aroA	ECK0899	P0A6D3
b0909	ycaL	ECK0900	P43674
b0910	cmk	ECK0901	P0A6I0
b0911	rpsA	ECK0902	P0AG67
b0912	ihfB	ECK0903	P0A6Y1
b0913	ycaI	ECK0904	P37443
b0914	msbA	ECK0905	P60752
b0915	lpxK	ECK0906	P27300
b0916	ycaQ	ECK0907	P75843
b0917	ycaR	ECK0908	P0AAZ7
b0918	kdsB	ECK0909	P04951
b0919	ycbJ	ECK0910	P0AB03
b0920	ycbC	ECK0911	P0AB01
b0921	smtA	ECK0912	P36566
b0922	mukF	ECK0913	P60293
b0923	mukE	ECK0914	P22524
b0924	mukB	ECK0915	P22523
b0925	ldtD	ECK0916	P22525
b0926	ycbK	ECK0917	P0AB06
b0927	ycbL	ECK0918	P75849
b0928	aspC	ECK0919	P00509
b0929	ompF	ECK0920	P02931
b0930	asnS	ECK0921	P0A8M0
b0931	pncB	ECK0922	P18133
b0932	pepN	ECK0923	P04825
b0933	ssuB	ECK0924	P0AAI1
b0934	ssuC	ECK0925	P75851
b0935	ssuD	ECK0926	P80645
b0936	ssuA	ECK0927	P75853
b0937	ssuE	ECK0928	P80644
b0938	elfA	ECK0929	P75855
b0939	elfD	ECK0930	P75856
b0940	elfC	ECK0931	P75857
b0941	elfG	ECK0932	P75858
b0942	ycbU	ECK0933	P75859
b0943	ycbV	ECK0934	P75860
b0944	ycbF	ECK0935	P40876
b0945	pyrD	ECK0936	P0A7E1
b0946	zapC	ECK0937	P75862
b0947	ycbX	ECK0938	P75863
b0948	rlmL	ECK0939	P75864
b0949	uup	ECK0940	P43672
b0950	pqiA	ECK0941	P0AFL9
b0951	pqiB	ECK0942	P43671
b0952	pqiC	ECK0943	P0AB10
b0953	rmf	ECK0944	P0AFW2
b0954	fabA	ECK0945	P0A6Q3
b0955	ycbZ	ECK0946	P75867
b0956	matP	ECK0947	P0A8N0
b0957	ompA	ECK0948	P0A910
b0958	sulA	ECK0949	P0AFZ5
b0959	sxy	ECK0950	P75869
b0960	yccS	ECK0951	P75870
b0961	yccF	ECK0952	P0AB12
b0962	helD	ECK0953	P15038
b0963	mgsA	ECK0954	P0A731
b0964	yccT	ECK0955	P0A8X4
b0965	yccU	ECK0956	P75874
b0966	hspQ	ECK0957	P0AB20
b0967	rlmI	ECK0958	P75876
b0968	yccX	ECK0959	P0AB65
b0969	tusE	ECK0960	P0AB18
b0970	yccA	ECK0961	P0AAC6
b0972	hyaA	ECK0963	P69739
b0973	hyaB	ECK0964	P0ACD8
b0974	hyaC	ECK0965	P0AAM1
b0975	hyaD	ECK0966	P19930
b0976	hyaE	ECK0967	P19931
b0977	hyaF	ECK0968	P19932
b0978	cbdA	ECK0969	P26459
b0979	cbdB	ECK0970	P26458
b4592	cbdX	ECK4402	P24244
b0980	appA	ECK0971	P07102
b0981	etk	ECK0972	P38134
b0982	etp	ECK0973	P0ACZ2
b0983	gfcE	ECK0974	P0A932
b0984	gfcD	ECK0975	P75882
b0985	gfcC	ECK0976	P75883
b0986	gfcB	ECK0977	P75884
b0987	gfcA	ECK0978	P75885
b4516	insA	ECK4531	P0CF10
b0988	insB1	ECK0022	P57998
b0989	cspH	ECK0979	P0A982
b0990	cspG	ECK0980	P0A978
b0991	ymcE	ECK0981	P0AAA5
b4517	gnsA	ECK0982	P0AC92
b0992	yccM	ECK0983	P52636
b0993	torS	ECK0984	P39453
b0994	torT	ECK0985	P38683
b0995	torR	ECK0986	P38684
b0996	torC	ECK0987	P33226
b0997	torA	ECK0988	P33225
b0998	torD	ECK0989	P36662
b0999	cbpM	ECK0990	P63264
b1000	cbpA	ECK0991	P36659
b1001	yccE	ECK0992	P36661
b1002	agp	ECK0993	P19926
b1003	yccJ	ECK0994	P0AB14
b1004	wrbA	ECK0995	P0A8G6
b4518	ymdF	ECK0996	P56614
b1006	rutG	ECK0997	P75892
b1007	rutF	ECK0998	P75893
b1008	rutE	ECK0999	P75894
b1009	rutD	ECK1000	P75895
b1010	rutC	ECK1001	P0AFQ5
b1011	rutB	ECK1002	P75897
b1012	rutA	ECK1003	P75898
b1013	rutR	ECK1004	P0ACU2
b1014	putA	ECK1005	P09546
b1015	putP	ECK1006	P07117
b1018	efeO	ECK1008	P0AB24
b1019	efeB	ECK1009	P31545
b1020	phoH	ECK1010	P0A9K1
b1021	pgaD	ECK1011	P69432
b1022	pgaC	ECK1012	P75905
b1023	pgaB	ECK1013	P75906
b1024	pgaA	ECK1014	P69434
b1025	ycdT	ECK1015	P75908
b1026	insF1	ECK0299	P0CF82
b1027	insE1	ECK0298	P0CF69
b1029	ycdU	ECK1017	P75910
b1033	ghrA	ECK1019	P75913
b1034	ycdX	ECK1020	P75914
b1035	ycdY	ECK1021	P75915
b1036	ycdZ	ECK1022	P75916
b1037	csgG	ECK1023	P0AEA2
b1038	csgF	ECK1024	P0AE98
b1039	csgE	ECK1025	P0AE95
b1040	csgD	ECK1026	P52106
b1041	csgB	ECK1027	P0ABK7
b1042	csgA	ECK1028	P28307
b1043	csgC	ECK1029	P52107
b1044	ymdA	ECK1030	P75917
b1045	ymdB	ECK1031	P0A8D6
b1046	clsC	ECK1032	P75919
b1047	opgC	ECK1033	P75920
b1048	opgG	ECK1034	P33136
b1049	opgH	ECK1035	P62517
b1050	yceK	ECK1036	P0AB31
b1051	msyB	ECK1037	P25738
b1053	mdtG	ECK1038	P25744
b1054	lpxL	ECK1039	P0ACV0
b1055	yceA	ECK1040	P24188
b1056	yceI	ECK1041	P0A8X2
b1057	yceJ	ECK1042	P75925
b1058	yceO	ECK1043	P64442
b1059	solA	ECK1044	P40874
b1060	bssS	ECK1045	P0AB33
b1061	dinI	ECK1046	P0ABR1
b1062	pyrC	ECK1047	P05020
b1063	yceB	ECK1048	P0AB26
b1064	grxB	ECK1049	P0AC59
b1065	mdtH	ECK1050	P69367
b1066	rimJ	ECK1051	P0A948
b1067	yceH	ECK1052	P29217
b1068	yceM	ECK1053	P75931
b1069	murJ	ECK1054	P0AF16
b1070	flgN	ECK1055	P43533
b1071	flgM	ECK1056	P0AEM4
b1072	flgA	ECK1057	P75933
b1073	flgB	ECK1058	P0ABW9
b1074	flgC	ECK1059	P0ABX2
b1075	flgD	ECK1060	P75936
b1076	flgE	ECK1061	P75937
b1077	flgF	ECK1062	P75938
b1078	flgG	ECK1063	P0ABX5
b1079	flgH	ECK1064	P0A6S0
b1080	flgI	ECK1065	P0A6S3
b1081	flgJ	ECK1066	P75942
b1082	flgK	ECK1067	P33235
b1083	flgL	ECK1068	P29744
b1084	rne	ECK1069	P21513
b1085	yceQ	ECK1070	P62066
b1086	rluC	ECK1071	P0AA39
b1087	yceF	ECK1072	P0A729
b1088	yceD	ECK1074	P0AB28
b1089	rpmF	ECK1075	P0A7N4
b1090	plsX	ECK1076	P27247
b1091	fabH	ECK1077	P0A6R0
b1092	fabD	ECK1078	P0AAI9
b1093	fabG	ECK1079	P0AEK2
b1094	acpP	ECK1080	P0A6A8
b1095	fabF	ECK1081	P0AAI5
b1096	pabC	ECK1082	P28305
b1097	yceG	ECK1083	P28306
b1098	tmk	ECK1084	P0A720
b1099	holB	ECK1085	P28631
b1100	ycfH	ECK1086	P0AFQ7
b1101	ptsG	ECK1087	P69786
b1102	fhuE	ECK1088	P16869
b1103	hinT	ECK1089	P0ACE7
b1104	ycfL	ECK1090	P75946
b1105	lpoB	ECK1091	P0AB38
b1106	thiK	ECK1092	P75948
b1107	nagZ	ECK1093	P75949
b1108	ycfP	ECK1094	P0A8E1
b1109	ndh	ECK1095	P00393
b1110	ycfJ	ECK1096	P0AB35
b1111	ycfQ	ECK1097	P75952
b1112	bhsA	ECK1098	P0AB40
b1113	ldtC	ECK1099	P75954
b1114	mfd	ECK1100	P30958
b1115	ycfT	ECK1101	P75955
b1116	lolC	ECK1102	P0ADC3
b1117	lolD	ECK1103	P75957
b1118	lolE	ECK1104	P75958
b1119	nagK	ECK1105	P75959
b1120	cobB	ECK1106	P75960
b1121	ycfZ	ECK1107	P75961
b1122	ymfA	ECK1108	P75962
b1123	potD	ECK1109	P0AFK9
b1124	potC	ECK1110	P0AFK6
b1125	potB	ECK1111	P0AFK4
b1126	potA	ECK1112	P69874
b1127	pepT	ECK1113	P29745
b1128	roxA	ECK1114	P27431
b1129	phoQ	ECK1115	P23837
b1130	phoP	ECK1116	P23836
b1131	purB	ECK1117	P0AB89
b1132	hflD	ECK1118	P25746
b1133	mnmA	ECK1119	P25745
b1134	nudJ	ECK1120	P0AEI6
b1135	rluE	ECK1121	P75966
b1136	icd	ECK1122	P08200
b1137	ymfD	ECK1123	P75967
b1138	ymfE	ECK1124	P75968
b1139	lit	ECK1125	P11072
b1140	intE	ECK1126	P75969
b1141	xisE	ECK1127	P75970
b1143	ymfI	ECK1129	P75972
b1144	ymfJ	ECK1130	P75973
b1145	cohE	ECK1131	P75974
b1146	croE	ECK4469	P75975
b1147	ymfL	ECK1133	P75976
b1148	ymfM	ECK1134	P75977
b1150	ymfR	ECK1136	P75979
b1153	ymfQ	ECK1139	P75982
b1154	stfP	ECK1140	P45581
b1155	tfaP	ECK1141	P09154
b1156	tfaE	ECK1142	P09153
b1158	pinE	ECK1144	P03014
b1159	mcrA	ECK1145	P24200
b1160	iraM	ECK1147	P75987
b1161	ycgX	ECK1148	P75988
b1162	bluR	ECK1149	P75989
b1163	bluF	ECK1150	P75990
b1164	ycgZ	ECK1151	P75991
b1165	ymgA	ECK1152	P75992
b1166	ariR	ECK1153	P75993
b1167	ymgC	ECK1154	P75994
b1168	ycgG	ECK1155	P75995
b4520	ymgF	ECK1156	P58034
b1171	ymgD	ECK1158	P0AB46
b1172	ymgG	ECK4470	Q7DFV3
b4593	ymgI	ECK4403	A5A611
b4594	ymgJ	ECK4404	A5A612
b1174	minE	ECK1162	P0A734
b1175	minD	ECK1163	P0AEZ3
b1176	minC	ECK1164	P18196
b1177	ycgJ	ECK1165	P76001
b1178	pliG	ECK1166	P76002
b1179	ycgL	ECK1167	P0AB43
b1180	ycgM	ECK1168	P76004
b1181	ycgN	ECK1169	P0A8L5
b1182	hlyE	ECK1170	P77335
b1183	umuD	ECK1171	P0AG11
b1184	umuC	ECK1172	P04152
b1185	dsbB	ECK1173	P0A6M2
b1186	nhaB	ECK1174	P0AFA7
b1187	fadR	ECK1175	P0A8V6
b1188	ycgB	ECK1176	P29013
b1189	dadA	ECK1177	P0A6J5
b1190	dadX	ECK1178	P29012
b1191	cvrA	ECK1179	P76007
b1192	ldcA	ECK1180	P76008
b1193	emtA	ECK1181	P0C960
b1194	ycgR	ECK1182	P76010
b1195	ymgE	ECK1183	P76011
b1196	ycgY	ECK1184	P76012
b1197	treA	ECK1185	P13482
b1198	dhaM	ECK1186	P37349
b1199	dhaL	ECK1187	P76014
b1200	dhaK	ECK1188	P76015
b1201	dhaR	ECK1189	P76016
b1202	ycgV	ECK1190	P76017
b1203	ychF	ECK1191	P0ABU2
b1204	pth	ECK1192	P0A7D1
b1205	ychH	ECK1193	P0AB49
b1206	dauA	ECK1194	P0AFR2
b1207	prs	ECK1195	P0A717
b1208	ispE	ECK1196	P62615
b1209	lolB	ECK1197	P61320
b1210	hemA	ECK1198	P0A6X1
b1211	prfA	ECK1199	P0A7I0
b1212	prmC	ECK1200	P0ACC1
b1213	ychQ	ECK1201	Q46755
b1214	ychA	ECK1202	P0AGM5
b1215	kdsA	ECK1203	P0A715
b4419	ldrA	ECK1204	Q6BF86
b4421	ldrB	ECK1206	Q6BF87
b4423	ldrC	ECK1208	Q6BF86
b1216	chaA	ECK1210	P31801
b1217	chaB	ECK1211	P0AE63
b1218	chaC	ECK1212	P39163
b1219	ychN	ECK1213	P0AB52
b1220	ychO	ECK1214	P39165
b1221	narL	ECK1215	P0AF28
b1222	narX	ECK1216	P0AFA2
b1223	narK	ECK1217	P10903
b1224	narG	ECK1218	P09152
b1225	narH	ECK1219	P11349
b1226	narJ	ECK1220	P0AF26
b1227	narI	ECK1221	P11350
b1229	tpr	ECK1224	P02338
b1232	purU	ECK1227	P37051
b1233	ychJ	ECK1228	P37052
b1234	rssA	ECK1229	P0AFR0
b1235	rssB	ECK1230	P0AEV1
b1236	galU	ECK1231	P0AEP3
b1237	hns	ECK1232	P0ACF8
b1238	tdk	ECK1233	P23331
b1241	adhE	ECK1235	P0A9Q7
b1242	ychE	ECK1236	P25743
b1243	oppA	ECK1237	P23843
b1244	oppB	ECK1238	P0AFH2
b1245	oppC	ECK1239	P0AFH6
b1246	oppD	ECK1240	P76027
b1247	oppF	ECK1241	P77737
b1248	yciU	ECK1242	P0A8L7
b1249	clsA	ECK1243	P0A6H8
b4595	yciY	ECK4405	A5A613
b1250	kch	ECK1244	P31069
b1251	yciI	ECK1245	P0AB55
b1252	tonB	ECK1246	P02929
b1253	yciA	ECK1247	P0A8Z0
b1254	yciB	ECK1248	P0A710
b1255	yciC	ECK1249	P21365
b1256	ompW	ECK1250	P0A915
b1257	yciE	ECK1251	P21363
b1258	yciF	ECK1252	P21362
b1259	yciG	ECK1253	P21361
b1260	trpA	ECK1254	P0A877
b1261	trpB	ECK1255	P0A879
b1262	trpC	ECK1256	P00909
b1263	trpD	ECK1257	P00904
b1264	trpE	ECK1258	P00895
b1265	trpL	ECK1259	P0AD92
b1266	yciV	ECK1260	P77766
b1267	yciO	ECK1261	P0AFR4
b1268	yciQ	ECK1262	P45848
b1269	rluB	ECK1263	P37765
b1270	btuR	ECK1264	P0A9H5
b1271	yciK	ECK1265	P31808
b1272	sohB	ECK1266	P0AG14
b1273	yciN	ECK1267	P0AB61
b1274	topA	ECK1268	P06612
b1275	cysB	ECK1269	P0A9F3
b4522	ymiA	ECK4433	P0CB62
b4523	yciX	ECK1270	P58094
b1276	acnA	ECK1271	P25516
b1277	ribA	ECK1272	P0A7I7
b1278	pgpB	ECK1273	P0A924
b1279	yciS	ECK1274	P0ACV4
b1280	yciM	ECK1275	P0AB58
b1281	pyrF	ECK1276	P08244
b1282	yciH	ECK1277	P08245
b1283	osmB	ECK1278	P0ADA7
b1284	yciT	ECK1279	P76034
b4596	yciZ	ECK4406	A5A614
b1285	gmr	ECK1280	P77334
b4672	ymiB	ECK4487	C1P5Z9
b1286	rnb	ECK1281	P30850
b1287	yciW	ECK1282	P76035
b1288	fabI	ECK1283	P0AEK4
b1289	ycjD	ECK1284	P45736
b1290	sapF	ECK1285	P0AAH8
b1291	sapD	ECK1286	P0AAH4
b1292	sapC	ECK1287	P0AGH5
b1293	sapB	ECK1288	P0AGH3
b1294	sapA	ECK1289	Q47622
b1295	ymjA	ECK1290	P0ACV8
b1296	puuP	ECK1291	P76037
b1297	puuA	ECK1292	P78061
b1298	puuD	ECK1293	P76038
b1299	puuR	ECK1294	P0A9U6
b1300	puuC	ECK1295	P23883
b1301	puuB	ECK1296	P37906
b1302	puuE	ECK1297	P50457
b1303	pspF	ECK1298	P37344
b1304	pspA	ECK1299	P0AFM6
b1305	pspB	ECK1300	P0AFM9
b1306	pspC	ECK1301	P0AFN2
b1307	pspD	ECK1302	P0AFV8
b1308	pspE	ECK1303	P23857
b1309	ycjM	ECK1304	P76041
b1310	ycjN	ECK1305	P76042
b1311	ycjO	ECK1306	P0AFR7
b1312	ycjP	ECK1307	P77716
b1313	ycjQ	ECK1308	P76043
b1314	ycjR	ECK1309	P76044
b1315	ycjS	ECK1310	P77503
b1316	ycjT	ECK1311	P77154
b1317	ycjU	ECK1312	P77366
b1319	ompG	ECK1315	P76045
b1320	ycjW	ECK1316	P77615
b1321	ycjX	ECK1317	P76046
b1322	ycjF	ECK1318	P0A8R7
b1323	tyrR	ECK1319	P07604
b1324	tpx	ECK1320	P0A862
b1325	ycjG	ECK1321	P51981
b1326	mpaA	ECK1322	P0ACV6
b1327	ycjY	ECK1324	P76049
b1328	pgrR	ECK1325	P77333
b1329	mppA	ECK1326	P77348
b1330	ynaI	ECK1327	P0AEB5
b1331	insH1	ECK0261	P0CE52
b1332	ynaJ	ECK1328	P64445
b1333	uspE	ECK1329	P0AAC0
b1334	fnr	ECK1330	P0A9E5
b1335	ogt	ECK1331	P0AFH0
b1336	abgT	ECK1332	P46133
b1337	abgB	ECK1333	P76052
b1338	abgA	ECK1334	P77357
b1339	abgR	ECK1335	P77744
b1340	smrA	ECK1337	P76053
b1341	ydaM	ECK1338	P77302
b1342	ydaN	ECK1339	P64423
b1343	dbpA	ECK1340	P21693
b1344	ttcA	ECK1341	P76055
b1345	intR	ECK1342	P76056
b1346	ydaQ	ECK1343	P76057
b1347	rcbA	ECK1344	P33230
b1348	ralR	ECK1345	P33229
b1349	recT	ECK1346	P33228
b1350	recE	ECK1347	P15032
b1351	racC	ECK1348	P15033
b4526	ydaE	ECK1349	P38394
b1352	kilR	ECK1350	P38393
b1353	sieB	ECK1351	P38392
b4527	ydaF	ECK1352	P0ACW0
b1355	ydaG	ECK1353	P76061
b1356	racR	ECK1354	P76062
b1357	ydaS	ECK1355	P76063
b1358	ydaT	ECK1356	P76064
b1359	ydaU	ECK1357	P76065
b1360	ydaV	ECK1358	P77546
b4528	rzoR	ECK1361	P58042
b1363	trkG	ECK1362	P23849
b1365	ynaK	ECK1363	P76068
b1372	stfR	ECK1367	P76072
b1373	tfaR	ECK1368	P77163
b1374	pinR	ECK1369	P0ADI0
b1375	ynaE	ECK1370	P76073
b1376	uspF	ECK1371	P37903
b1377	ompN	ECK1372	P77747
b1378	pfo	ECK1374	P52647
b4529	ydbJ	ECK1375	P0ACW2
b1379	hslJ	ECK1376	P52644
b1380	ldhA	ECK1377	P52643
b1381	ydbH	ECK1378	P52645
b1382	ynbE	ECK1379	P64448
b1383	ydbL	ECK1380	P76076
b1384	feaR	ECK1381	Q47129
b1385	feaB	ECK1382	P80668
b1386	tynA	ECK1383	P46883
b1387	paaZ	ECK1384	P77455
b1388	paaA	ECK1385	P76077
b1389	paaB	ECK1386	P76078
b1390	paaC	ECK1387	P76079
b1391	paaD	ECK1388	P76080
b1392	paaE	ECK1389	P76081
b1393	paaF	ECK1390	P76082
b1394	paaG	ECK1391	P77467
b1395	paaH	ECK1392	P76083
b1396	paaI	ECK1393	P76084
b1397	paaJ	ECK1394	P0C7L2
b1398	paaK	ECK1395	P76085
b1399	paaX	ECK1396	P76086
b1400	paaY	ECK1397	P77181
b4674	ynbG	ECK4489	C1P600
b1402	insD1	ECK0358	P0CF54
b1403	insC1	ECK0357	P0CF41
b1404	insI1	ECK0258	P0CF89
b1406	ydbC	ECK1399	P25906
b1407	ydbD	ECK1400	P25907
b1408	ynbA	ECK1401	P76090
b1409	ynbB	ECK1402	P76091
b1410	ynbC	ECK1403	P76092
b1411	ynbD	ECK1404	P76093
b1412	azoR	ECK1405	P41407
b1413	hrpA	ECK1406	P43329
b1414	ydcF	ECK1407	P34209
b1415	aldA	ECK1408	P25553
b1418	cybB	ECK1410	P0ABE5
b1419	ydcA	ECK1411	P0ACW4
b4428	hokB	ECK1412	P77494
b1420	mokB	ECK1413	P76096
b1421	trg	ECK1415	P05704
b1422	ydcI	ECK1416	P77171
b1423	ydcJ	ECK1417	P76097
b1424	opgD	ECK1418	P40120
b1426	ydcH	ECK1419	P0ACW6
b1427	rimL	ECK1420	P13857
b1428	ydcK	ECK1421	P76100
b1429	tehA	ECK1422	P25396
b1430	tehB	ECK1423	P25397
b1431	ydcL	ECK1424	P64451
b1432	insQ	ECK1426	P76102
b1433	ydcO	ECK1427	P76103
b1434	ydcN	ECK1428	P77626
b1435	ydcP	ECK1429	P76104
b1436	yncJ	ECK1430	P64459
b4532	hicA	ECK1431	P76106
b1438	hicB	ECK1432	P67697
b1439	ydcR	ECK1433	P77730
b1440	ydcS	ECK1434	P76108
b1441	ydcT	ECK1435	P77795
b1442	ydcU	ECK1436	P77156
b1443	ydcV	ECK1437	P0AFR9
b1444	patD	ECK1438	P77674
b4598	yncL	ECK4408	A5A615
b1445	ydcX	ECK1439	P64453
b1446	ydcY	ECK1440	P64455
b1447	ydcZ	ECK1441	P76111
b1448	mnaT	ECK1442	P76112
b1449	curA	ECK1443	P76113
b1450	mcbR	ECK1444	P76114
b1451	yncD	ECK1445	P76115
b1452	yncE	ECK1446	P76116
b1453	ansP	ECK1447	P77610
b1454	yncG	ECK1448	P76117
b1455	yncH	ECK1449	P76118
b1457	ydcD	ECK1451	P31991
b1460	ydcC	ECK1454	P28917
b1461	pptA	ECK1455	P31992
b1462	yddH	ECK1456	P76121
b1463	nhoA	ECK1457	P77567
b1464	yddE	ECK1458	P37757
b1465	narV	ECK1459	P0AF32
b1466	narW	ECK1460	P19317
b1467	narY	ECK1461	P19318
b1468	narZ	ECK1462	P19319
b1469	narU	ECK1463	P37758
b1473	yddG	ECK1467	P46136
b1474	fdnG	ECK1468	P24183
b1475	fdnH	ECK1469	P0AAJ3
b1476	fdnI	ECK1470	P0AEK7
b1477	yddM	ECK1471	P67699
b1478	adhP	ECK1472	P39451
b1479	maeA	ECK1473	P26616
b1480	sra	ECK1474	P68191
b1481	bdm	ECK1475	P76127
b1482	osmC	ECK1476	P0C0L2
b1483	ddpF	ECK1477	P77622
b1484	ddpD	ECK1478	P77268
b1485	ddpC	ECK1479	P77463
b1486	ddpB	ECK1480	P77308
b1487	ddpA	ECK1481	P76128
b1488	ddpX	ECK1482	P77790
b1489	dosP	ECK1483	P76129
b1490	dosC	ECK1484	P0AA89
b1491	yddW	ECK1485	P64426
b1492	gadC	ECK1486	P63235
b1493	gadB	ECK1487	P69910
b1494	pqqL	ECK1488	P31828
b1495	yddB	ECK1489	P31827
b1496	yddA	ECK1490	P31826
b1497	ydeM	ECK1491	P76134
b1498	ydeN	ECK1492	P77318
b1499	ydeO	ECK1493	P76135
b1500	safA	ECK4475	P76136
b1501	ydeP	ECK1494	P77561
b1502	ydeQ	ECK1495	P77588
b1503	ydeR	ECK1496	P77294
b1504	ydeS	ECK1497	P77789
b1507	hipA	ECK1500	P23874
b1508	hipB	ECK1501	P23873
b1511	lsrK	ECK1504	P77432
b1512	lsrR	ECK1505	P76141
b1513	lsrA	ECK1506	P77257
b1514	lsrC	ECK1507	P77672
b1515	lsrD	ECK1508	P0AFS1
b1516	lsrB	ECK1509	P76142
b1517	lsrF	ECK1510	P76143
b1518	lsrG	ECK1511	P64461
b1519	tam	ECK1512	P76145
b1520	yneE	ECK1513	P76146
b1521	uxaB	ECK1514	P0A6L7
b1522	yneF	ECK1515	P76147
b1523	yneG	ECK1516	P76148
b1524	glsB	ECK1517	P0A6W0
b1525	sad	ECK1518	P76149
b1526	yneJ	ECK1519	P77309
b1527	yneK	ECK1520	P76150
b1528	ydeA	ECK1521	P31122
b1529	marC	ECK1522	P0AEY1
b1530	marR	ECK1523	P27245
b1531	marA	ECK1524	P0ACH5
b1532	marB	ECK1525	P31121
b1533	eamA	ECK1526	P31125
b1534	ydeE	ECK1527	P31126
b4599	yneM	ECK4409	A5A616
b1535	dgcZ	ECK1528	P31129
b1536	ydeI	ECK1529	P31130
b1537	ydeJ	ECK1530	P31131
b1538	dcp	ECK1531	P24171
b1539	ydfG	ECK1532	P39831
b1540	rspR	ECK1533	P0ACM2
b1541	ydfZ	ECK1534	P64463
b1542	ydfI	ECK1535	P77260
b1544	ydfK	ECK1537	P76154
